,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,active_patients,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-1.504496363246846,-21.412323516720683,18.699669338432955,0.0,1.9535892767718148e-23,1.416525748538721e-23,-1.7390876902580028,-21.63063762172215,20.73665487708488,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
1,2020-01-23,-0.15047019112661217,-22.40537916180588,20.586121864022708,0.0,3.575228513531577e-19,2.7359733240898075e-19,-0.2776454759971547,-20.967031384255463,21.042794897076067,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
2,2020-01-24,0.8817451640953964,-21.788062171688605,22.275120445583923,0.0,1.113497466155994e-16,8.794178196410756e-17,1.240072832074709,-20.131094536417248,22.800053524822765,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
3,2020-01-25,1.9404978240721285,-20.07533728032568,22.749574417240716,0.0,6.542961243670985e-15,5.284443320464224e-15,2.3114874292291256,-19.922467642516338,22.846584968977563,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
4,2020-01-26,-0.3363664544524458,-21.20298263599032,20.856404719428905,0.0,1.5416414160761667e-13,1.2669130364799555e-13,-0.3971806839799901,-20.886393743775344,19.73043275407779,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
5,2020-01-27,-1.2770779180685845,-22.667757448608782,20.696127809232234,0.0,2.0377916372086326e-12,1.698566861738504e-12,-1.442513647562765,-22.532642288963274,18.26199222523139,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
6,2020-01-28,0.4522349916666179,-20.017700763160917,22.251319983692568,0.0,1.8075941222063893e-11,1.5248654351475092e-11,0.3374956552293391,-19.876833324291397,21.263865500206926,2020-05-28,0.0,65.88721467745584,True,128,1049.5015350006163
7,2020-01-29,-1.5029419638645718,-21.39626385045724,18.440909851262624,1.0,1.1974155406891174e-10,1.020673007346894e-10,-1.7319035008994257,-22.312203040152607,18.54567129407469,2020-05-28,1.0,65.88721467745584,True,128,1049.5015350006163
8,2020-01-30,-0.14851755000838512,-22.014569404583533,21.24124669286232,3.0,6.346659565944606e-10,5.459665680625059e-10,-0.2688794697708835,-21.204967240574636,20.409769182049015,2020-05-28,3.0,65.88721467745584,True,128,1049.5015350006163
9,2020-01-31,0.8841980772944505,-19.00321969077103,21.453479271103657,2.0,2.821330160805128e-09,2.447001246054565e-09,1.2507689341534658,-17.861093489591358,21.79909786466851,2020-05-28,2.0,65.88721467745584,True,128,1049.5015350006163
10,2020-02-01,1.9435791798938877,-20.201302504532613,23.295570998521416,3.0,1.0878239873020843e-08,9.505146357537487e-09,2.3245385861472814,-19.92075561102919,21.733482053345206,2020-05-28,3.0,65.88721467745584,True,128,1049.5015350006163
11,2020-02-02,-0.3324956483098116,-21.82729397086673,22.091931790860777,2.0,3.729325735122233e-08,3.2807265434793995e-08,-0.3812559521819375,-18.974932076191966,19.98190896169201,2020-05-28,2.0,65.88721467745584,True,128,1049.5015350006163
12,2020-02-03,-1.2722154040618803,-23.305153677094527,18.44118987820372,2.0,1.1583733454029452e-07,1.0253978011620268e-07,-1.4230826629921063,-22.67930462824159,17.993806509052572,2020-05-28,2.0,65.88721467745584,True,128,1049.5015350006163
13,2020-02-04,0.45834328874871505,-21.22181010094915,22.14554221694939,3.0,3.308045412305574e-07,2.945227897560958e-07,0.36120485831555477,-20.973401579502415,20.4432818441444,2020-05-28,3.0,65.88721467745584,True,128,1049.5015350006163
14,2020-02-05,-1.49526871581992,-22.806994895522102,20.572080578454713,3.0,8.786973953461015e-07,7.865341667974888e-07,-1.702974165377595,-23.80926348284025,16.99405248737583,2020-05-28,3.0,65.88721467745584,True,128,1049.5015350006163
15,2020-02-06,-0.13887841477779173,-22.134516017266975,20.625183279961398,4.0,2.191368587821013e-06,1.971396650086489e-06,-0.2335807325251157,-20.307173263553512,22.26087639448424,2020-05-28,4.0,65.88721467745584,True,128,1049.5015350006163
16,2020-02-07,0.8963067515254473,-20.16035633225956,20.92461102315567,5.0,5.170388954312645e-06,4.673367146022351e-06,1.2938393352296667,-19.77429314613811,24.18263636124611,2020-05-28,5.0,65.88721467745584,True,128,1049.5015350006163
17,2020-02-08,1.9587900732608787,-19.035496422128713,24.055803305181982,5.0,1.1614907116308835e-05,1.0545166245450813e-05,2.3770915828095,-19.14458870790538,23.11990247552348,2020-05-28,5.0,65.88721467745584,True,128,1049.5015350006163
18,2020-02-09,-0.3133877750163284,-21.379056493665065,21.677610533504797,5.0,2.4974634735672363e-05,2.2770019783043466e-05,-0.31713283615405385,-19.584510366752358,19.9364814351429,2020-05-28,5.0,65.88721467745584,True,128,1049.5015350006163
19,2020-02-10,-1.2482121920822307,-22.029975338787978,19.689228861801354,5.0,5.1632652049832906e-05,4.7263029536329747e-05,-1.3448424544606905,-20.661526682732884,19.255239628380735,2020-05-28,5.0,65.88721467745584,True,128,1049.5015350006163
20,2020-02-11,0.4884959456116438,-20.48131428694082,21.834050342471407,5.0,0.00010302837448928434,9.466779658851524e-05,0.45666965275892274,-20.045647862437246,21.433163803712777,2020-05-28,5.0,65.88721467745584,True,128,1049.5015350006163
