,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,1.9985157185748833e-14,-2.516813862950434e-12,2.5893392086675166e-12,0.0,3.661379602538609e-19,4.513552073372583e-18,3.176114963833634e-16,-6.057744814283726e-14,6.101002560368084e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
1,2020-01-23,2.0194088393937032e-14,-2.565327080445588e-12,2.6568035670473775e-12,0.0,3.26211459556681e-17,2.8614158478678536e-16,3.201055700505709e-16,-6.236755665587121e-14,6.187274014128176e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
2,2020-01-24,2.0592075388198444e-14,-2.735932186761235e-12,2.770995658653626e-12,0.0,4.509111263968903e-16,3.2413055793976824e-15,3.231390737548078e-16,-6.484844495015183e-14,6.434502696115536e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
3,2020-01-25,2.1010045499832716e-14,-2.5802485268264346e-12,2.65675517312563e-12,0.0,2.906388517385656e-15,1.8140259647642052e-14,3.2592126271944123e-16,-5.965696760029982e-14,6.139070677612035e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
4,2020-01-26,2.1278258215376562e-14,-2.6427066778164755e-12,2.6995412789733325e-12,0.0,1.2332939448976698e-14,6.898871458921919e-14,3.285293160109254e-16,-5.707237779464748e-14,6.235355901839071e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
5,2020-01-27,2.1639132305449443e-14,-2.5790718015661603e-12,2.5825811005485968e-12,0.0,4.01740307314638e-14,2.054861227186602e-13,3.3094138218108252e-16,-6.427274811865659e-14,6.35943216551261e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
6,2020-01-28,3.430385865619004e-14,-2.6466569970894526e-12,2.708746737251315e-12,0.0,1.0903809644092774e-13,5.170678615880103e-13,3.16375484011202e-16,-6.0737212025025e-14,6.686786812301304e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
7,2020-01-29,3.121149685384661e-14,-2.7640489354466763e-12,2.705144454774173e-12,0.0,2.58945354812112e-13,1.150021658990851e-12,2.7685463715657296e-16,-6.07530450118419e-14,6.206376239178356e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
8,2020-01-30,3.2017571282006087e-14,-2.3759262148305876e-12,2.546233604066472e-12,0.0,5.553121117544206e-13,2.3276704656362123e-12,2.6314234259873816e-16,-6.303863404947085e-14,5.977404778891815e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
9,2020-01-31,3.304200791891028e-14,-2.512810220583845e-12,2.6800291257985344e-12,0.0,1.098806082612676e-12,4.373615235746161e-12,2.510811499438896e-16,-6.027074742106872e-14,6.204056024488116e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
10,2020-02-01,3.4135437651625015e-14,-2.7356427217706544e-12,2.8356926602168425e-12,0.0,2.0371964620981617e-12,7.738031979776627e-12,2.39695303413639e-16,-5.922705515288081e-14,6.179633307837642e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
11,2020-02-02,3.512000762293127e-14,-2.4426664603791684e-12,2.823494443374246e-12,0.0,3.579314526532857e-12,1.3027018136949323e-11,2.2893747456891965e-16,-5.718463351987019e-14,6.444597932127709e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
12,2020-02-03,3.5775497775414496e-14,-2.7167289514962163e-12,2.632158926094697e-12,0.0,6.011233940759571e-12,2.1034983850508413e-11,2.1850245184732398e-16,-6.797302387573118e-14,6.03008900176965e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
13,2020-02-04,4.871876860995383e-14,-2.512447205288685e-12,2.841129688880618e-12,0.0,9.714774327949885e-12,3.278008415916715e-11,2.103764447621322e-16,-6.247677748983662e-14,6.376454532500754e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
14,2020-02-05,4.60756463094183e-14,-2.499430505038656e-12,2.7811222887344106e-12,0.0,1.5188426815979408e-11,4.954268847200444e-11,1.7633699172086368e-16,-6.237041223051284e-14,5.902594312021749e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
15,2020-02-06,4.729911571253596e-14,-2.5580758952660874e-12,2.587670560868007e-12,0.0,2.3070796037990772e-11,7.290688398982734e-11,1.6783130642208036e-16,-6.280237584180148e-14,5.685358987382795e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
16,2020-02-07,4.873931878781614e-14,-2.7011963795891845e-12,2.629220138611161e-12,0.0,3.416664931979363e-11,1.0480500998674853e-10,1.606023904218444e-16,-6.640174748954483e-14,6.780198209921213e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
17,2020-02-08,5.0226793371087435e-14,-2.5083361041313713e-12,2.7334721624856056e-12,0.0,4.947566044490515e-11,1.4756522008076048e-10,1.5376850099688757e-16,-6.061231051011403e-14,6.45340723084745e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
18,2020-02-09,5.154143965081964e-14,-2.5573642368903666e-12,2.643006575760923e-12,0.0,7.022393238194377e-11,2.0396206980825804e-10,1.4734327348095292e-16,-6.157895177116029e-14,5.928497531389825e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
19,2020-02-10,5.2969868279068e-14,-2.6527802694774693e-12,2.8345763925259314e-12,0.0,9.789838063615165e-11,2.7727012697988725e-10,1.4133391845630435e-16,-5.956794746243428e-14,5.789542880579526e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
20,2020-02-11,6.672201269504185e-14,-2.599088292419374e-12,2.5590364351745864e-12,0.0,1.3428405640527615e-10,3.7132060243767273e-10,1.3487453202663014e-16,-6.26391499624417e-14,6.275260860468003e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
21,2020-02-12,6.481624694315613e-14,-2.4567309253341926e-12,2.7521028441918402e-12,0.0,1.815044864462497e-10,4.905609989590902e-10,1.0323428043576924e-16,-6.388925834617862e-14,6.305193111299565e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
22,2020-02-13,6.684044718498605e-14,-2.6023324886094157e-12,2.6163943453201954e-12,0.0,2.4206510446562704e-10,6.401177761649395e-10,9.720896910748957e-17,-6.532696585417531e-14,6.584379948998063e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
23,2020-02-14,6.911433127444898e-14,-2.677437281229161e-12,2.578107976710601e-12,0.0,3.1889984691091485e-10,8.258620293863505e-10,9.247710143042216e-17,-5.863079511032919e-14,6.28581951551275e-14,2020-04-20,299.69369227043353,False,90,8.35897267986692e-07
