,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,350.76777550243287,-1757.7771262807107,2438.969505063986,444.0,0.10846081572070934,0.11088234865039573,302.82451461740425,-1843.7175623978144,2320.8833822906818,2020-04-25,19.707871454909828,True,95,67816.41413151537
1,2020-01-23,1288.4074647684859,-720.6550473032243,3335.3583040195012,444.0,2.482586309063865,2.524457205086546,1295.1713672358462,-789.9382924205363,3329.2387169322633,2020-04-25,19.707871454909828,True,95,67816.41413151537
2,2020-01-24,1672.6523478680097,-429.3914086008066,3597.1360692594108,549.0,15.494019945468303,15.706026115193966,1687.1899686536726,-289.9822560572588,3834.6671810392463,2020-04-25,19.707871454909828,True,95,67816.41413151537
3,2020-01-25,1873.2452722673638,-86.1103488306561,3898.8457204761507,761.0,56.78146180213058,57.430277176500326,1876.0343169257708,-151.19733885315986,3926.8688245771473,2020-04-25,19.707871454909828,True,95,67816.41413151537
4,2020-01-26,2284.9690468244653,455.28263876079893,4350.819608047052,1058.0,155.3421413698822,156.84470094143492,2301.2437001467906,213.01796634005422,4381.825249987455,2020-04-25,19.707871454909828,True,95,67816.41413151537
5,2020-01-27,2637.966340578178,616.8126796283452,4596.757254109783,1423.0,352.91176564661157,355.81700220679966,2654.1877310978066,525.7988821018189,4738.963828227921,2020-04-25,19.707871454909828,True,95,67816.41413151537
6,2020-01-28,3292.036354484087,1297.5554261666734,5313.557636635675,3554.0,704.3624676377959,709.2963094810341,3272.8776312400755,1322.710548266853,5330.7336768068835,2020-04-25,19.707871454909828,True,95,67816.41413151537
7,2020-01-29,3696.9478321538054,1742.364149453232,5610.438909720733,3554.0,1276.571709665852,1284.1430564974712,3648.3702137872706,1676.3827527474962,5651.135243958857,2020-04-25,19.707871454909828,True,95,67816.41413151537
8,2020-01-30,5425.455036645736,3301.7177750570927,7493.00413665441,4903.0,2145.048958555534,2155.720396164084,5431.905036894407,3442.6443377001156,7371.163416811058,2020-04-25,19.707871454909828,True,95,67816.41413151537
9,2020-01-31,6763.509271247423,4616.25962192366,8584.208601834256,5806.0,3387.6590890697535,3401.5975743552485,6778.215228223022,4738.17313936274,8864.85793487314,2020-04-25,19.707871454909828,True,95,67816.41413151537
10,2020-02-01,8102.060381567179,6221.158191732794,10161.685021813344,7153.0,5075.21531868309,5092.153597561263,8105.69443533309,6081.383234796202,10284.1759250362,2020-04-25,19.707871454909828,True,95,67816.41413151537
11,2020-02-02,9853.571214277887,7672.7560071507805,11864.052321369425,11177.0,7259.635935665434,7278.789163170099,9871.586578303619,7882.167142161172,11986.160119232187,2020-04-25,19.707871454909828,True,95,67816.41413151537
