,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,15.549958682556786,9.097789852411216,22.05745195686322,0.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
1,2020-01-23,15.823654798789027,8.70486535383533,22.15702065149531,0.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
2,2020-01-24,15.54458873723177,8.7669467528369,22.89304217068668,0.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
3,2020-01-25,15.7454537073805,8.682818496318044,22.607525795302056,1.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
4,2020-01-26,15.946320238144086,9.202773353689002,22.28859858525961,1.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
5,2020-01-27,16.647176007335933,9.907627323694543,22.883846329880033,6.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
6,2020-01-28,16.848045642046653,10.676595371851397,23.507342859883938,6.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
7,2020-01-29,15.492253503942688,8.921229128574062,22.125784619463214,6.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
8,2020-01-30,15.765748607907813,8.958513699228691,22.20562340313371,8.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
9,2020-01-31,15.486481073719053,8.737061480719383,22.08252696319056,8.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
10,2020-02-01,15.687144111773911,8.668537077918936,22.34596720966139,9.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
11,2020-02-02,15.8878082519026,8.717330472756675,22.397947899770507,11.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
12,2020-02-03,16.588461172875093,9.294464026834113,23.016438503574786,13.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
13,2020-02-04,16.789127502732303,10.235005423455938,23.173166084821066,15.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
14,2020-02-05,15.433131604109123,8.824419592064935,22.601587551645995,17.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
15,2020-02-06,15.706422492881998,9.202225061104253,21.955997553580367,18.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
16,2020-02-07,15.426950289863502,8.715997070578995,22.137422079116316,18.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
17,2020-02-08,15.627408206472982,8.757536738021976,22.528119744974237,18.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
18,2020-02-09,15.827866773623203,9.164491578117385,22.67840458473533,18.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
19,2020-02-10,16.528313671172352,9.598721156092333,22.927407887499438,18.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
20,2020-02-11,16.72877352825177,10.12753628359525,22.83200305454048,18.0,2020-04-02,10.03123965413396,True,72,18.074726040803174
