,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,10.534471614021173,-3.992896065005026,26.2887598939699,4.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
1,2020-01-23,13.306551275825163,-2.437756217619,28.436135129408086,4.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
2,2020-01-24,15.172786060489134,-0.8112998652127357,29.926677198113843,8.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
3,2020-01-25,18.433413588187577,1.7869749462745141,34.63220213490303,10.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
4,2020-01-26,21.29696602161105,7.014659440460272,36.945244721662455,14.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
5,2020-01-27,26.06073802804458,9.943998423375062,41.80946935970201,23.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
6,2020-01-28,27.133305355494407,10.435063588141126,42.42684485943165,24.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
7,2020-01-29,29.88778066323673,13.999865677998441,45.62956857637154,27.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
8,2020-01-30,34.921409470286456,18.60232463292094,49.273303612726366,31.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
9,2020-01-31,39.14847544905344,23.7215844905932,55.156274063083366,32.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
10,2020-02-01,44.82805003215073,27.910727250871048,60.83493709504734,41.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
11,2020-02-02,50.11664727330632,34.43753173993586,65.29154912954606,48.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
12,2020-02-03,57.24963023385639,41.627081401064075,73.00514728901506,60.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
13,2020-02-04,60.5658153127267,45.52534082274143,75.9858127116611,67.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
14,2020-02-05,65.36400376639416,49.512439514454584,82.07057100395424,69.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
15,2020-02-06,72.16691057493449,56.20123755639821,87.20320246657693,79.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
16,2020-02-07,77.81913115283555,63.004602511064846,94.30169457846245,81.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
17,2020-02-08,84.52017539213782,68.85678260785342,100.49411848089994,88.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
18,2020-02-09,90.3820111647153,75.38303439962607,107.18327328269436,91.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
19,2020-02-10,97.61433054276277,80.95641756549468,114.01553823132897,95.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
20,2020-02-11,100.551452556338,85.00593379706623,116.31791627960312,106.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
21,2020-02-12,104.5092627604096,88.49145914109772,120.0595552533282,112.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
22,2020-02-13,110.04760051296874,94.30549387780232,125.0036944572303,119.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
23,2020-02-14,114.0649569967125,97.72922322826076,129.23598661393044,120.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
24,2020-02-15,118.82697272191791,103.1838956101983,134.3497634129636,122.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
25,2020-02-16,122.5187819810547,106.81660038062503,137.7097245770859,124.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
26,2020-02-17,127.4250556773627,111.94050773302543,143.15739660817107,125.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
27,2020-02-18,127.95221879483286,112.57649119516216,143.8238194614709,128.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
28,2020-02-19,129.4816495504707,113.75841742011242,144.88366084520035,130.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
29,2020-02-20,132.62948450322497,116.45632224494244,148.1658099190027,131.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
30,2020-02-21,134.33991800155192,118.64355522895156,150.31985842065308,132.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
31,2020-02-22,136.91336035755884,120.92188635739763,151.87184157774186,135.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
32,2020-02-23,138.55928349110684,122.65167169660386,154.4698863211815,135.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
33,2020-02-24,141.57734878659952,125.08417488922542,156.2073621327414,135.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
34,2020-02-25,140.38104481462398,124.89219633324002,156.38818995271643,135.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
35,2020-02-26,140.35243154522524,125.48968956221452,154.93683049965614,135.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
36,2020-02-27,142.10345726076173,126.04381177622531,156.903455171137,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
37,2020-02-28,142.57063226857179,128.3322537255107,158.36485775150103,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
38,2020-02-29,144.0443666033345,128.72188286207094,159.78357056444733,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
39,2020-03-01,144.7227797960464,128.83092180402238,159.7227106539284,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
40,2020-03-02,146.8935821163163,132.24526010409724,163.20237229891833,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
41,2020-03-03,144.9582750223125,129.12375658024519,160.5110366107685,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
42,2020-03-04,144.28729518619247,128.15511462329908,158.91371761921658,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
43,2020-03-05,145.4815982286151,131.48681081864686,162.2373437613328,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
44,2020-03-06,145.4674949043136,131.38019951429152,160.82148486066214,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
45,2020-03-07,146.52607237669432,130.99876976311643,162.34295621924454,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
46,2020-03-08,146.847030104714,130.2653822622646,161.78276386596892,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
47,2020-03-09,148.71054709440895,133.27811348901398,165.60903095255992,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
48,2020-03-10,146.51144180207427,131.50453917412466,161.6950035962989,136.0,2020-04-06,16.194016569031575,True,76,147.5506558376851
