,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,8.177413548704267,-150.27354962552977,165.10560820865481,0.0,2.892722592791786e-11,5.1719041110090384e-11,2.2097297841150825,-153.32799942121306,174.07799915400625,2020-04-24,75.49844769419508,True,94,8663.481106246982
1,2020-01-23,17.784913299406885,-146.48755624054263,182.85689788448428,0.0,5.974622799924497e-09,9.685815325944416e-09,9.071548540071447,-149.53865200519027,167.29924149668938,2020-04-24,75.49844769419508,True,94,8663.481106246982
2,2020-01-24,31.493705326225577,-122.35330506871148,191.41694583504713,0.0,1.350519464626027e-07,2.0675456819778473e-07,21.633646677295488,-129.68580043221033,178.72639756535236,2020-04-24,75.49844769419508,True,94,8663.481106246982
3,2020-01-25,0.38358949688615496,-151.64851561588324,163.19806447858608,0.0,1.2339972621647733e-06,1.8139357671483711e-06,9.940967994668508,-149.47111391866656,176.63077724271372,2020-04-24,75.49844769419508,True,94,8663.481106246982
4,2020-01-26,-13.882378126240324,-173.75771679378116,150.32436192058802,0.0,6.8640261295869075e-06,9.776848882144373e-06,-2.3543891656839966,-173.36495251203252,150.58092819073616,2020-04-24,75.49844769419508,True,94,8663.481106246982
5,2020-01-27,-28.858380157141575,-188.91009077974337,142.6478432675948,0.0,2.7893598864623963e-05,3.8720488914855014e-05,-26.881729637274365,-183.51914491539057,140.62274144669186,2020-04-24,75.49844769419508,True,94,8663.481106246982
6,2020-01-28,-6.669387119176393,-167.36599994620596,145.26441338910143,0.0,9.127331571110535e-05,0.00012397223493315618,-6.849728530506605,-159.97130952476437,146.34239536877482,2020-04-24,75.49844769419508,True,94,8663.481106246982
7,2020-01-29,9.307498277450911,-153.69371927262102,164.84253026273225,0.0,0.0002548695132884258,0.00033970943600823933,3.1471694718908463,-149.81640840427355,168.82191305794112,2020-04-24,75.49844769419508,True,94,8663.481106246982
8,2020-01-30,19.06647231605103,-136.99672286633506,180.87782848755285,0.0,0.0006305142136460561,0.0008265321084505764,10.138773498694773,-147.6604979200073,179.45948627815588,2020-04-24,75.49844769419508,True,94,8663.481106246982
9,2020-01-31,32.947033707673896,-123.1213171351142,195.50934547835607,0.0,0.001417694230527336,0.0018309839901897202,22.848619062178887,-143.3554215300331,192.78835843532096,2020-04-24,75.49844769419508,True,94,8663.481106246982
10,2020-02-01,2.031699173281847,-163.59074583505543,164.81968229333918,0.0,0.002950554718384133,0.003759752536901176,11.324134080859002,-161.82005933913712,165.6347092837952,2020-04-24,75.49844769419508,True,94,8663.481106246982
11,2020-02-02,-12.013395346252466,-181.01754387712896,143.75894470371244,0.0,0.005761134436805736,0.0072514733141942,-0.7797559765981799,-163.94376890702026,159.36170275237507,2020-04-24,75.49844769419508,True,94,8663.481106246982
12,2020-02-03,-26.738941247105625,-183.77998586602524,127.94915591180552,0.0,0.010661982999380166,0.013269248606243738,-25.089138607836325,-184.73321505255265,124.37831128629122,2020-04-24,75.49844769419508,True,94,8663.481106246982
13,2020-02-04,-4.265951805724183,-165.49009772132842,159.3026217025496,0.0,0.018851535394422785,0.023217165231651272,-4.809027727693833,-155.07509606736704,157.9106024546281,2020-04-24,75.49844769419508,True,94,8663.481106246982
14,2020-02-05,12.03295543319149,-141.8451524364002,166.38571171349827,0.0,0.032045836701215746,0.03908426330482244,5.470298002210011,-141.81911774541697,158.0326899493727,2020-04-24,75.49844769419508,True,94,8663.481106246982
15,2020-02-06,22.157059854806185,-138.3154590097168,187.1017909527219,0.0,0.05264042035907262,0.06361956627072442,12.783387817172645,-157.10539538814314,169.53942550607638,2020-04-24,75.49844769419508,True,94,8663.481106246982
16,2020-02-07,36.45162039490021,-120.03499359507529,201.6212148903595,0.0,0.08390634628573398,0.10054193268923106,25.859170080163935,-133.93759246494687,182.74273211256948,2020-04-24,75.49844769419508,True,94,8663.481106246982
17,2020-02-08,6.005680644163701,-150.97719576966603,161.84416970573002,0.0,0.13022459971494205,0.15478863102310828,14.751207606768784,-150.3930916053871,171.06353383266836,2020-04-24,75.49844769419508,True,94,8663.481106246982
18,2020-02-09,-7.507228776973215,-157.77738119407533,137.23394746898126,0.0,0.19736323621820626,0.2328066683636208,3.1214041563838313,-153.6970941544512,171.42405133493887,2020-04-24,75.49844769419508,True,94,8663.481106246982
19,2020-02-10,-21.629422511648812,-178.53522861852505,142.8944364629376,0.0,0.2928018304194616,0.3428910198760508,-20.648391120822133,-175.2850070469708,141.8508383817349,2020-04-24,75.49844769419508,True,94,8663.481106246982
20,2020-02-11,1.527573978633539,-152.72880624566207,161.20331522479705,0.0,0.42610794158392373,0.49557400375619876,0.24583320892061167,-153.4868834362667,162.64063583628598,2020-04-24,75.49844769419508,True,94,8663.481106246982
21,2020-02-12,18.60188754349188,-146.63624662234733,179.1484643541895,0.0,0.6093704431391984,0.7040701210432712,11.224060227577366,-146.43743079151665,178.41333003969538,2020-04-24,75.49844769419508,True,94,8663.481106246982
22,2020-02-13,29.604962586871636,-115.94397703715931,193.2554398161376,0.0,0.8576946677964762,0.9847807231092968,19.33250455043426,-141.84264444573063,182.77053048695393,2020-04-24,75.49844769419508,True,94,8663.481106246982
23,2020-02-14,44.895828467711915,-115.02575463973486,204.83735165458637,0.0,1.1897643852324065,1.357862871925945,33.31332413894134,-131.01331338912243,188.9411947603589,2020-04-24,75.49844769419508,True,94,8663.481106246982
24,2020-02-15,15.57911254113402,-144.1550481732922,166.4565407822796,0.0,1.628475642006995,1.8478667061337333,23.235167584677423,-132.04052555136724,191.08566550560118,2020-04-24,75.49844769419508,True,94,8663.481106246982
25,2020-02-16,3.345976275184432,-150.2530642284265,154.59419543810313,0.0,2.201647436319577,2.4844455026542334,12.777050427225452,-138.76871121037354,178.83459254678075,2020-04-24,75.49844769419508,True,94,8663.481106246982
26,2020-02-17,-9.325954619034611,-169.52890003446774,158.74588960127403,0.0,2.942814051337505,3.3031424078306544,-9.659745810086445,-165.55197689057107,150.1242497279324,2020-04-24,75.49844769419508,True,94,8663.481106246982
27,2020-02-18,15.474338458640117,-131.9683965415439,171.24851359792325,0.0,3.8921036024150486,4.34625747738869,12.750850207264422,-152.19204579430527,182.729475803196,2020-04-24,75.49844769419508,True,94,8663.481106246982
28,2020-02-19,34.410459411923235,-116.18380244202226,202.34749153927953,0.0,5.097206930998787,5.663798178353622,25.45385421154553,-135.2655270740229,194.52419018333953,2020-04-24,75.49844769419508,True,94,8663.481106246982
29,2020-02-20,47.52263054209904,-112.45688727871465,203.95699021901692,0.0,6.6144403589164416,7.314515828978477,35.52387380367328,-137.85986481674524,198.97048222326526,2020-04-24,75.49844769419508,True,94,8663.481106246982
30,2020-02-21,65.20236998067232,-88.18572218967304,219.84038284003958,0.0,8.509904949522523,9.367029537461683,51.735283159108114,-107.35982881682823,220.6203526371287,2020-04-24,75.49844769419508,True,94,8663.481106246982
31,2020-02-22,38.59096061346948,-127.09681478310596,198.28908651954993,0.0,10.860743745091655,11.90103799089542,44.1931776131038,-115.90218702015777,203.0527534930302,2020-04-24,75.49844769419508,True,94,8663.481106246982
32,2020-02-23,29.420891555066643,-125.49481011845691,187.03432610789497,0.0,13.75649689000184,15.008617877411337,36.617862655232045,-123.08022448936713,200.00204201934494,2020-04-24,75.49844769419508,True,94,8663.481106246982
33,2020-02-24,20.216346534956227,-136.49464831397876,178.7772593504573,0.0,17.300552521851593,18.795605722282012,17.457331752506743,-145.77856712456517,182.37844896978015,2020-04-24,75.49844769419508,True,94,8663.481106246982
34,2020-02-25,48.94074671812811,-104.56560938655372,207.857231836862,0.0,21.61168872081474,23.38305739885407,43.59045507861479,-112.19544716605134,205.27576642501188,2020-04-24,75.49844769419508,True,94,8663.481106246982
