,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-8.959669183322633,-40.469516547861964,26.8406717782078,0.0,6.63184947535746e-14,3.7379136838320255e-14,-9.523220912579664,-43.452475274597816,22.893815163582264,2020-04-25,70.93922871462915,True,95,1623.4966327586678
1,2020-01-23,-2.714705059025095,-35.682036919533,31.150568924370113,0.0,3.055653398344781e-11,1.8968255464248076e-11,-4.2453172211473085,-34.874189434466466,28.768020183280786,2020-04-25,70.93922871462915,True,95,1623.4966327586678
2,2020-01-24,3.6184302658774143,-30.259794932620018,36.98109962532498,0.0,1.1044188982843687e-09,7.254105054715177e-10,2.5994916574975893,-30.228627205665695,33.75036112749365,2020-04-25,70.93922871462915,True,95,1623.4966327586678
3,2020-01-25,11.404359702022402,-22.109657605468193,44.056736493148094,0.0,1.4079055511490713e-08,9.625549057251458e-09,9.642741982422496,-20.670563359649684,42.9355029924411,2020-04-25,70.93922871462915,True,95,1623.4966327586678
4,2020-01-26,4.973922602617015,-30.38725944889765,39.64329974129519,0.0,1.0139561198750074e-07,7.151039467477993e-08,7.591109688940361,-25.52395532200685,41.483340997063955,2020-04-25,70.93922871462915,True,95,1623.4966327586678
5,2020-01-27,-1.5890632753984546,-34.04414594263732,33.433670192112146,0.0,5.088657954759618e-07,3.681136844011129e-07,1.4573541430844164,-32.18179001512698,31.4245684360966,2020-04-25,70.93922871462915,True,95,1623.4966327586678
6,2020-01-28,-5.777970100759586,-38.57476880230417,26.304111487985036,0.0,1.9903922648062775e-06,1.4710993414261076e-06,-6.847631573847159,-38.50927023000011,26.00443582174026,2020-04-25,70.93922871462915,True,95,1623.4966327586678
7,2020-01-29,-8.814860321708071,-42.35379270681899,27.568751973242605,0.0,6.486985842949796e-06,4.884539570099418e-06,-9.416176737178887,-41.092710049111204,23.862270088804028,2020-04-25,70.93922871462915,True,95,1623.4966327586678
8,2020-01-30,-2.547948142364113,-35.068542712268986,30.483606307758482,0.0,1.8392170910022323e-05,1.407791729937747e-05,-4.1212871916183875,-35.35742377695842,28.0719505086231,2020-04-25,70.93922871462915,True,95,1623.4966327586678
9,2020-01-31,3.810460949106686,-29.587393069300504,37.683628854915604,0.0,4.671846657584291e-05,3.6288355501110424e-05,2.7432023491482416,-29.055938619255777,36.95137015544639,2020-04-25,70.93922871462915,True,95,1623.4966327586678
10,2020-02-01,11.62549351619108,-22.338563968942253,43.947708766197366,0.0,0.00010857378955732166,8.546121245061895e-05,9.809255497583129,-23.167238501986596,41.34964245762108,2020-04-25,70.93922871462915,True,95,1623.4966327586678
11,2020-02-02,5.2285687474471985,-28.218394703232406,37.53440435437243,0.0,0.00023446208995983435,0.0001868013613378117,7.784043252477192,-24.937485147028838,38.86612612637624,2020-04-25,70.93922871462915,True,95,1623.4966327586678
12,2020-02-03,-1.2958280883626478,-35.41163753300201,34.26379466415487,0.0,0.00047603908323671585,0.00038352337120975774,1.6808984609415263,-29.030123789346415,36.037128195414155,2020-04-25,70.93922871462915,True,95,1623.4966327586678
13,2020-02-04,-5.440300754136571,-37.69388293608294,29.269592629020337,0.0,0.0009170813833631744,0.0007465173989246015,-6.588621504259605,-39.675995927325346,28.261416737037965,2020-04-25,70.93922871462915,True,95,1623.4966327586678
14,2020-02-05,-8.426027200344947,-41.11444745574751,26.526251913287716,0.0,0.0016885654882517506,0.0013877888572721114,-9.116076474118461,-42.46703380182356,23.37593405814129,2020-04-25,70.93922871462915,True,95,1623.4966327586678
15,2020-02-06,-2.1002035719303245,-34.33564180840012,33.25507113138235,0.0,0.0029889017313059992,0.002478683797061901,-3.7735811022152386,-35.541914885294275,28.69095983678887,2020-04-25,70.93922871462915,True,95,1623.4966327586678
16,2020-02-07,4.326036339692316,-30.05318789655299,38.54410184205428,0.0,0.005110527284863457,0.004274078357458171,3.1460620317281203,-26.909044882243908,36.09399311902799,2020-04-25,70.93922871462915,True,95,1623.4966327586678
