,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-255.50179216908978,-4681.056135594952,4255.50368848684,0.0,1.6602383992447583e-12,1.1984923335470745e-10,-121.08128045240832,-4469.370204058381,3970.7864936003225,2020-04-25,78.29912753261405,True,95,178437.78201882078
1,2020-01-23,-8.739684313116877,-4504.33043786133,4471.023566371279,0.0,8.387455454105326e-10,2.9727884683570212e-08,130.87801018582033,-4005.8828615034913,4347.484149901284,2020-04-25,78.29912753261405,True,95,178437.78201882078
2,2020-01-24,-253.413635195367,-4812.779083062834,4133.3665836885775,2.0,3.1992841590509595e-08,7.479516623643818e-07,-117.78813104963251,-4144.407998889077,4192.336301205848,2020-04-25,78.29912753261405,True,95,178437.78201882078
3,2020-01-25,-793.3768412091205,-5315.724803014342,3582.267173560478,3.0,4.237307667769679e-07,7.3738237867477235e-06,-711.8329497323807,-4958.414054884696,3584.4203739217683,2020-04-25,78.29912753261405,True,95,178437.78201882078
4,2020-01-26,570.4423909180546,-3704.7719507231513,5026.0446441442455,3.0,3.1434724107855444e-06,4.3506969438292154e-05,457.58249138155986,-3780.573494818362,4581.087086437811,2020-04-25,78.29912753261405,True,95,178437.78201882078
5,2020-01-27,395.1641403001682,-3865.5555323424487,4764.728313220762,3.0,1.6162650724821286e-05,0.0001855249310257498,229.77555760261615,-3938.4661076107222,4242.709993550331,2020-04-25,78.29912753261405,True,95,178437.78201882078
6,2020-01-28,399.8871554683271,-4034.549793201443,4668.379313765374,4.0,6.45270116309809e-05,0.0006323060309234766,211.73868783027507,-3884.3585711102573,4268.341176984016,2020-04-25,78.29912753261405,True,95,178437.78201882078
7,2020-01-29,-247.52575528390105,-4525.745407521399,4242.7692536725135,5.0,0.00021406702367241542,0.001829032823282292,-110.02890539899722,-3945.0992408868533,4227.005121402521,2020-04-25,78.29912753261405,True,95,178437.78201882078
8,2020-01-30,0.4043882931189433,-4245.421987918699,4421.746369573475,5.0,0.0006165029735418099,0.004667795223937288,143.47120991457842,-3708.3816939917715,4100.305799609459,2020-04-25,78.29912753261405,True,95,178437.78201882078
9,2020-01-31,-242.93049865952304,-4703.57100780315,4260.678085354709,5.0,0.0015880691967195759,0.010791642799351783,-103.43933662773749,-4313.511156786624,3917.669966038895,2020-04-25,78.29912753261405,True,95,178437.78201882078
10,2020-02-01,-781.3585770485676,-5216.096491406469,3542.3209247867376,6.0,0.0037377019089837637,0.023032637983088133,-695.4838659746932,-4671.063663579584,3476.3749909395433,2020-04-25,78.29912753261405,True,95,178437.78201882078
11,2020-02-02,584.220544422088,-3945.4932521770756,4908.708455683448,6.0,0.008165303704954836,0.04601833999726112,476.21064986403087,-3679.550387962949,4828.7755932641285,2020-04-25,78.29912753261405,True,95,178437.78201882078
12,2020-02-03,410.9598405009163,-3915.601054971784,4923.790327703631,6.0,0.01675561358866104,0.08698500560931022,251.0004120315511,-3916.474182660615,4245.295272155694,2020-04-25,78.29912753261405,True,95,178437.78201882078
13,2020-02-04,417.9957660318102,-3859.8605883702535,4857.520419404385,6.0,0.032598773105072754,0.15683962914467336,235.92209951091667,-3477.9577964127434,4457.781738878521,2020-04-25,78.29912753261405,True,95,178437.78201882078
14,2020-02-05,-226.7656513915452,-4862.469395235315,4409.510082850857,6.0,0.060574785449886766,0.27151676091809274,-82.47468049201797,-4202.656188582933,4181.485758729869,2020-04-25,78.29912753261405,True,95,178437.78201882078
15,2020-02-06,24.204105212838236,-4312.822281514204,4403.585243595735,6.0,0.1081457138937808,0.453679839630925,174.86590726327228,-4295.131434251378,4477.842012253418,2020-04-25,78.29912753261405,True,95,178437.78201882078
16,2020-02-07,-215.64627350662732,-4961.976205533844,4496.512854866654,6.0,0.18640665663203645,0.7348205477255759,-67.66912397104718,-4411.83439127453,4169.246999580803,2020-04-25,78.29912753261405,True,95,178437.78201882078
17,2020-02-08,-750.0798791342294,-5627.334381672805,3594.9648186552545,11.0,0.31145426468379717,1.157813444146639,-654.7286253570545,-4865.316800040285,3590.489160268282,2020-04-25,78.29912753261405,True,95,178437.78201882078
