,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-3.00117121100444,-30.453936067095476,24.582098644415513,0.0,5.294513178148238e-23,5.7081225678040715e-24,-1.7707496997524386,-27.450518211539727,25.564574563313037,2020-04-15,72.17682535310787,True,85,1237.0697230961796
1,2020-01-23,-0.4005736735618338,-25.802955616400755,29.115738781780106,0.0,7.06648608603523e-19,1.1059762886819839e-19,-2.796399810788125,-28.362630768586495,22.937016121258235,2020-04-15,72.17682535310787,True,85,1237.0697230961796
2,2020-01-24,0.4130518620533284,-24.7482742090735,26.172574197413343,0.0,1.8297621182125777e-16,3.561457573061069e-17,-2.288903257290825,-27.881753193166897,24.884789385627254,2020-04-15,72.17682535310787,True,85,1237.0697230961796
3,2020-01-25,1.5643415042507978,-25.272562146019006,28.168363235394068,0.0,9.431504639600197e-15,2.1428824216669485e-15,1.8900937190599902,-22.292150210575873,28.511599200433153,2020-04-15,72.17682535310787,True,85,1237.0697230961796
4,2020-01-26,4.420925435204399,-21.931123796191805,30.31858210673484,0.0,2.0075015709159863e-13,5.142631200104618e-14,4.872305199766564,-20.221582853467094,30.16047296636586,2020-04-15,72.17682535310787,True,85,1237.0697230961796
5,2020-01-27,0.09649616273105317,-25.42990621173225,25.86672724731946,0.0,2.4421487139684065e-12,6.900495884880279e-13,1.314365754223586,-23.79539964232533,27.185328817548378,2020-04-15,72.17682535310787,True,85,1237.0697230961796
6,2020-01-28,-3.0490593499728855,-29.317151781683823,21.54188362422394,0.0,2.0194113466916595e-11,6.199158940599395e-12,-1.1808635728480854,-24.88098547837048,24.170271849678173,2020-04-15,72.17682535310787,True,85,1237.0697230961796
7,2020-01-29,-2.992444282664679,-28.19808213776932,21.646638655653316,0.0,1.258804994218834e-10,4.1519380840988525e-11,-1.7627894275755942,-27.166035443740824,23.266067981868865,2020-04-15,72.17682535310787,True,85,1237.0697230961796
8,2020-01-30,-0.3901162845380721,-27.22522230747807,24.977316606687985,0.0,6.323583106870177e-10,2.2220931477985226e-10,-2.7868493724056687,-27.876023138685795,21.542642397062554,2020-04-15,72.17682535310787,True,85,1237.0697230961796
9,2020-01-31,0.42558283822347553,-26.695530482892746,26.229927643375923,0.0,2.679374182519428e-09,9.964096077451408e-10,-2.2774450017549497,-29.574129584442353,25.10784256357102,2020-04-15,72.17682535310787,True,85,1237.0697230961796
