,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,4.251688474265393,-16.616915103614282,23.6861140309158,0.0,1.0265320112949445e-15,8.364478188692817e-14,3.8525855563639837,-11.792864681517791,18.816870685661474,2020-04-25,95.11315471874458,False,95,3907.137027062635
1,2020-01-23,3.8602554581802333,-15.245944534421277,22.642911086014475,0.0,6.63857956737129e-13,2.6430633012834886e-11,4.3252872625777625,-11.958260524992516,20.658092018068203,2020-04-25,95.11315471874458,False,95,3907.137027062635
2,2020-01-24,-4.5428406096178815,-22.36649271658521,14.816161247965635,0.0,2.925706970059959e-11,7.661609714756639e-10,-1.7217114292861209,-17.669005634407995,13.322358767009312,2020-04-25,95.11315471874458,False,95,3907.137027062635
3,2020-01-25,-3.7961424938042416,-23.581925363518803,15.79559014270012,0.0,4.2931674986659254e-10,8.351726738955412e-09,-1.2335027458993826,-16.32302579701057,14.28735627496386,2020-04-25,95.11315471874458,False,95,3907.137027062635
4,2020-01-26,-4.319454390796042,-22.9670201538322,14.390955021992747,0.0,3.4484345533745988e-09,5.327087892342094e-08,-5.694063373900579,-21.160398011755333,10.666698529132269,2020-04-25,95.11315471874458,False,95,3907.137027062635
5,2020-01-27,2.31992173717591,-16.52605641615932,22.097327040057728,0.0,1.892053856848411e-08,2.420966258624447e-07,-0.35565618348570116,-15.772474821404607,15.627810892411892,2020-04-25,95.11315471874458,False,95,3907.137027062635
6,2020-01-28,2.6407978646852874,-17.815907220950162,20.342045939131634,0.0,7.98017593829442e-08,8.707552747657433e-07,1.5296836271945473,-13.918391832836614,16.647836274312123,2020-04-25,95.11315471874458,False,95,3907.137027062635
7,2020-01-29,4.305535711776207,-17.23968381496969,24.52539132921045,0.0,2.776390187634466e-07,2.63903401360566e-06,3.93743004776889,-10.722160190199837,19.563971090698363,2020-04-25,95.11315471874458,False,95,3907.137027062635
8,2020-01-30,3.9211024140354103,-14.891362430465312,23.690733825023347,0.0,8.338523474363765e-07,7.017803393903642e-06,4.420376662089349,-11.587701252682125,19.00214843891658,2020-04-25,95.11315471874458,False,95,3907.137027062635
9,2020-01-31,-4.474084066634736,-23.755528293679426,15.927658417274177,0.0,2.230101633885454e-06,1.6832885678102423e-05,-1.6151401060271238,-17.902736426595336,13.423441614894157,2020-04-25,95.11315471874458,False,95,3907.137027062635
10,2020-02-01,-3.7184482353104147,-23.295503853329517,15.143091814977925,0.0,5.43007935869995e-06,3.71425596869439e-05,-1.1140631331413007,-15.690072907767256,13.78183538514919,2020-04-25,95.11315471874458,False,95,3907.137027062635
11,2020-02-02,-4.2316606610262015,-23.39556575906278,15.22497360512343,0.0,1.2235906828553252e-05,7.64992977084671e-05,-5.560201517454009,-21.66790581912051,8.83943723994234,2020-04-25,95.11315471874458,False,95,3907.137027062635
12,2020-02-03,2.4191276851396957,-15.749589434775913,21.93170170638695,0.0,2.5834989143257438e-05,0.00014870043378691116,-0.2056307058897494,-16.932053635294956,14.529863105348406,2020-04-25,95.11315471874458,False,95,3907.137027062635
13,2020-02-04,2.75289938807438,-17.34328031052053,21.35234989085348,0.0,5.160777438227431e-05,0.0002751470275351136,1.6978243366945382,-13.341303424842252,17.348639861093076,2020-04-25,95.11315471874458,False,95,3907.137027062635
14,2020-02-05,4.432208944958684,-15.604919043834114,24.49698287957101,0.0,9.828343118924369e-05,0.0004879451820747251,4.12587320777942,-10.9478578720035,20.142863669153666,2020-04-25,95.11315471874458,False,95,3907.137027062635
15,2020-02-06,4.064241313817931,-14.547536894703684,24.112431651157145,0.0,0.0001795490678446221,0.0008338994721548671,4.631573534826039,-10.875507022813366,20.593130895631038,2020-04-25,95.11315471874458,False,95,3907.137027062635
16,2020-02-07,-4.3123394242513235,-22.973785348618282,14.283422259191566,0.0,0.0003162388232526208,0.0013795639159962356,-1.3784423492563895,-17.29234083403571,13.467027782029556,2020-04-25,95.11315471874458,False,95,3907.137027062635
17,2020-02-08,-3.535679685045748,-24.791504547136732,14.837330034581198,0.0,0.0005392520210601511,0.002217532061966728,-0.8487857032613217,-16.512134523176012,15.524828419425747,2020-04-25,95.11315471874458,False,95,3907.137027062635
18,2020-02-09,-4.025135829342927,-24.18318222214837,16.737980613738088,0.0,0.0008933746444980767,0.003474164241211885,-5.262893993226019,-20.059896414005284,10.476091881026747,2020-04-25,95.11315471874458,False,95,3907.137027062635
19,2020-02-10,2.652496185730325,-18.275534971386687,21.20504586832236,0.0,0.001442205710848165,0.005318966844188978,0.12757380477634972,-16.178720777429913,15.021885684495963,2020-04-25,95.11315471874458,False,95,3907.137027062635
20,2020-02-11,3.016600058074462,-16.104098365328287,23.350922821905396,0.0,0.0022744197472803545,0.007975855598661307,2.0712594401993165,-13.288372186332866,16.930160039543566,2020-04-25,95.11315471874458,False,95,3907.137027062635
