,ds,yhat,yhat_lower,yhat_upper,y,y_hill,y_hill_b1,yhat_b1,yhat_b1_lower,yhat_b1_upper,current_date,fastest_growth_day,growth_stabilized,current_day,cap
0,2020-01-22,-1490.1299724999935,-17058.629529177477,16921.87380135462,1.0,2.7549218058339283e-16,1.2658116904384644e-16,-1403.2296426536823,-12364.753170847656,10964.62478307757,2020-04-25,80.53703149265579,True,95,977324.171633228
1,2020-01-23,-1.5901470508236404,-16516.875040459636,15859.097090334331,1.0,7.075436293460036e-13,3.713425734792582e-13,-460.89962590039636,-11521.592413525892,10875.403375850838,2020-04-25,80.53703149265579,True,95,977324.171633228
2,2020-01-24,2001.6361638811643,-14871.60284470045,18002.266051502924,2.0,6.986619241139804e-11,3.9634831602959795e-11,380.1248103450607,-11231.145276671046,12314.065153270842,2020-04-25,80.53703149265579,True,95,977324.171633228
3,2020-01-25,3737.3608729418047,-13270.816423979766,21084.904947946718,2.0,1.8171767574962971e-09,1.0893824722888487e-09,1113.660289157601,-9707.176107382998,12617.776807418086,2020-04-25,80.53703149265579,True,95,977324.171633228
4,2020-01-26,-883.3706788413707,-16931.161050305964,15824.705514090212,5.0,2.2753979050891592e-08,1.4237563545151283e-08,859.831063504283,-10309.055281405497,12437.019902495027,2020-04-25,80.53703149265579,True,95,977324.171633228
5,2020-01-27,-1607.4193741073793,-18308.485019869964,14622.112991268074,5.0,1.794365968669452e-07,1.1627401198799248e-07,572.9196894685406,-10528.331765521276,12972.01777217765,2020-04-25,80.53703149265579,True,95,977324.171633228
6,2020-01-28,-1669.69937341676,-18723.07381435061,15204.08342266364,5.0,1.0284661387662167e-06,6.864476048699196e-07,-1013.4876589713259,-12671.208793206179,10018.444194038355,2020-04-25,80.53703149265579,True,95,977324.171633228
7,2020-01-29,-1476.1923650998904,-17181.42035697344,14758.171771480755,5.0,4.667035686578906e-06,3.195847327191594e-06,-1394.8528863137483,-13178.888948365684,9660.1226763657,2020-04-25,80.53703149265579,True,95,977324.171633228
8,2020-01-30,14.58572407312089,-15619.245038903506,15338.899150801222,5.0,1.7718415207441497e-05,1.2410375793180634e-05,-451.08847117863434,-12430.223495894985,11366.266318031654,2020-04-25,80.53703149265579,True,95,977324.171633228
9,2020-01-31,2020.4097308085456,-15950.385353687809,17588.330227769853,7.0,5.843880172822884e-05,4.176777262078324e-05,391.61597718977885,-10451.181236839853,11523.89818312251,2020-04-25,80.53703149265579,True,95,977324.171633228
10,2020-02-01,3759.149282267828,-13404.366941614982,20118.386230320837,8.0,0.0001720043220662789,0.00012520503955592682,1127.1191362953293,-9763.648776694175,12629.442100245024,2020-04-25,80.53703149265579,True,95,977324.171633228
11,2020-02-02,-858.083300518759,-17333.3106519779,15374.993614519175,8.0,0.00046084509788043605,0.0003411051671498893,875.5945132821845,-10544.019081269711,12142.467479453982,2020-04-25,80.53703149265579,True,95,977324.171633228
12,2020-02-03,-1578.071167691266,-18577.58092454311,13461.649836797897,11.0,0.0011410145103776849,0.0008576195116335486,591.3823504868793,-10660.430267505968,11844.541160989078,2020-04-25,80.53703149265579,True,95,977324.171633228
13,2020-02-04,-1635.6382695683744,-18262.22013209964,15084.967197916885,11.0,0.0026413986089180094,0.0020137846848082438,-991.863616733416,-11856.758368609295,10577.181972573477,2020-04-25,80.53703149265579,True,95,977324.171633228
14,2020-02-05,-1436.6616046218585,-17694.414873738526,14930.878038776063,11.0,0.005770522654960558,0.004458036176605741,-1369.5261664334841,-12612.95611105691,10346.147338499293,2020-04-25,80.53703149265579,True,95,977324.171633228
15,2020-02-06,60.464392488856035,-16325.5187137469,16201.077545470758,11.0,0.01198629783760729,0.009375440028465298,-421.425106920022,-11114.201008140568,10920.596171099383,2020-04-25,80.53703149265579,True,95,977324.171633228
16,2020-02-07,2073.655547578638,-13817.152736390408,18900.900211102824,11.0,0.0238178308777428,0.018847806082303003,426.3584839399918,-10687.565174119523,11848.613110209519,2020-04-25,80.53703149265579,True,95,977324.171633228
17,2020-02-08,3820.945100024006,-13147.754318970907,20180.820705510818,11.0,0.045506014745385216,0.036407474677420795,1167.8103891911937,-9912.072061734363,12013.364496722597,2020-04-25,80.53703149265579,True,95,977324.171633228
18,2020-02-09,-786.3647672154034,-17784.594682770996,16038.146397224704,11.0,0.08395171635421317,0.06786672491445832,923.2529723974836,-10455.16958712586,12714.06697705412,2020-04-25,80.53703149265579,True,95,977324.171633228
19,2020-02-10,-1494.836886080802,-18204.519491578838,14505.352082419584,11.0,0.15008772872773044,0.12253126014923206,647.2008023506505,-10628.575752906858,11992.198867264242,2020-04-25,80.53703149265579,True,95,977324.171633228
20,2020-02-11,-1539.0395533784022,-17901.752366435376,15268.2929317365,12.0,0.2608240794567797,0.21493899300257388,-926.4882350659877,-13151.301727968179,10419.862314663886,2020-04-25,80.53703149265579,True,95,977324.171633228
21,2020-02-12,-1324.5531203022263,-17316.102374802504,16466.377919238374,12.0,0.44175667091223425,0.3673053725640187,-1292.9578464862095,-13306.029909229415,9837.839121746103,2020-04-25,80.53703149265579,True,95,977324.171633228
22,2020-02-13,190.57218091723422,-16254.044172815822,16271.595742680736,13.0,0.7308775259338972,0.6129048544167612,-331.7478820325541,-12418.092921773497,10726.095081224463,2020-04-25,80.53703149265579,True,95,977324.171633228
23,2020-02-14,2224.6515413206353,-15312.447284991566,19473.950677218596,13.0,1.1835821497805543,1.0006759841912516,531.3884075588925,-10041.973303218263,12229.175760796421,2020-04-25,80.53703149265579,True,95,977324.171633228
24,2020-02-15,3996.1815472835124,-12653.253280894032,20352.45053246889,13.0,1.8793367874816687,1.6014062137838478,1290.8206721260588,-10348.931841902688,12799.903201327697,2020-04-25,80.53703149265579,True,95,977324.171633228
25,2020-02-16,-582.9980678871821,-16006.690243854484,16216.934940257925,13.0,2.9304468142054025,2.515933353562417,1067.3207417681265,-10685.730181069965,12575.32881896142,2020-04-25,80.53703149265579,True,95,977324.171633228
26,2020-02-17,-1258.8265380309401,-17946.844274922412,15319.074865644716,13.0,4.493458365949668,3.8858949298494423,815.9294352694665,-10095.656390443643,11853.751917900516,2020-04-25,80.53703149265579,True,95,977324.171633228
27,2020-02-18,-1265.1487925451697,-19135.755166568888,14543.809388924752,13.0,6.78382987477268,5.907666193470545,-728.879247607916,-12102.887976495027,10732.390302274434,2020-04-25,80.53703149265579,True,95,977324.171633228
28,2020-02-19,-1006.7061544922334,-16739.217685411382,15699.313561384828,13.0,10.094629735380977,8.850253712569634,-1061.5277406472142,-12572.307169234055,9613.463016240452,2020-04-25,80.53703149265579,True,95,977324.171633228
29,2020-02-20,559.4242308948301,-15404.520392466397,16658.99318129319,13.0,14.820152239094122,13.078056034261273,-60.71158249658248,-11779.448906114272,10682.40957508615,2020-04-25,80.53703149265579,True,95,977324.171633228
30,2020-02-21,2652.6859921267396,-14917.897316950699,19083.650608895372,15.0,21.485497499021328,19.07956748981674,848.80422016986,-8959.637964891277,12566.993253912733,2020-04-25,80.53703149265579,True,95,977324.171633228
31,2020-02-22,4492.884132400148,-12022.792048425175,21599.149637374365,15.0,30.78333363203301,27.503287494995785,1662.5459007646582,-10183.795156377279,12509.125885046828,2020-04-25,80.53703149265579,True,95,977324.171633228
32,2020-02-23,-6.624745375208818,-15649.137505329263,15637.660177864369,15.0,43.619252105887554,39.20230720783888,1502.6387098284922,-9822.675154132981,12919.424066214591,2020-04-25,80.53703149265579,True,95,977324.171633228
33,2020-02-24,-590.0216551133385,-18108.224429809445,15512.86414201578,51.0,61.16734081737686,55.2892794853653,1325.706978794684,-9650.048398827557,13445.714744068515,2020-04-25,80.53703149265579,True,95,977324.171633228
34,2020-02-25,-489.11397534937737,-16602.745432561893,16812.021687876768,51.0,84.93783466754535,77.20373768654196,-131.92290469523357,-12252.789605674818,10833.04704909989,2020-04-25,80.53703149265579,True,95,977324.171633228
35,2020-02-26,-106.28233590880927,-16204.827341004095,15730.095129238949,57.0,116.85896006761821,106.7940143460374,-362.5069157530843,-11239.086720719133,10838.428901541498,2020-04-25,80.53703149265579,True,95,977324.171633228
36,2020-02-27,1604.1304397448814,-14829.247900616514,19884.16718121201,58.0,159.37536695915733,146.41632148259848,757.7925583234828,-10088.248319405695,12282.815021482647,2020-04-25,80.53703149265579,True,95,977324.171633228
37,2020-02-28,3864.7340393548943,-12389.83903673114,21045.43735607819,60.0,215.56583724280233,199.05388826606935,1807.1715594684902,-9696.706915900053,12834.734981739533,2020-04-25,80.53703149265579,True,95,977324.171633228
38,2020-02-29,5898.99805239624,-10904.685914544749,21367.79900273242,68.0,289.283267738174,268.4594048083704,2784.616366290252,-8877.667328442238,13558.15944977186,2020-04-25,80.53703149265579,True,95,977324.171633228
39,2020-03-01,1624.5188372235311,-15618.898992315519,18951.30072717084,74.0,385.32024198223024,359.3243858129246,2816.2937447203176,-8031.336544296306,14682.064634887149,2020-04-25,80.53703149265579,True,95,977324.171633228
40,2020-03-02,1302.018083097202,-15080.514398310066,18108.947197195095,98.0,509.6038175713537,477.4794333069084,2863.5465136747684,-8343.007791146048,14158.26457207051,2020-04-25,80.53703149265579,True,95,977324.171633228
41,2020-03-03,1705.3543681192627,-13969.590808229634,19228.037206654008,118.0,669.4234484309078,630.1297263719182,1668.2068818219975,-10114.54689200065,13206.991366273407,2020-04-25,80.53703149265579,True,95,977324.171633228
42,2020-03-04,2438.690584943638,-12053.452385536255,19864.924481543097,149.0,873.6962114003849,826.1303722654529,1744.4392496880873,-9302.553783301064,12478.798195147037,2020-04-25,80.53703149265579,True,95,977324.171633228
43,2020-03-05,4555.2348580981,-11754.740097527369,21357.08523959859,217.0,1133.2736815304963,1076.3064812472792,3223.5623877424564,-7919.373578344206,14044.714040271176,2020-04-25,80.53703149265579,True,95,977324.171633228
44,2020-03-06,7286.302208186236,-9387.07450417563,22628.05736700887,262.0,1461.294855865511,1393.8229259326629,4692.481761827134,-7271.517783507875,16012.22362600151,2020-04-25,80.53703149265579,True,95,977324.171633228
45,2020-03-07,9865.387493555252,-6405.103844983578,24957.344231804098,402.0,1873.589400669846,1794.6086452552377,6160.312359708186,-5918.29068384821,17045.877797701396,2020-04-25,80.53703149265579,True,95,977324.171633228
46,2020-03-08,6221.617742897775,-9926.170587488186,22135.715606499543,518.0,2389.135111270552,2297.839958962015,6764.985685712937,-4963.517319087674,18577.816094277216,2020-04-25,80.53703149265579,True,95,977324.171633228
47,2020-03-09,6628.957096679413,-9878.30911207974,21364.533520205223,583.0,3030.5727210164982,2926.486546263547,7481.489718682276,-4114.627611104962,18547.4119053853,2020-04-25,80.53703149265579,True,95,977324.171633228
48,2020-03-10,7876.446119471504,-8725.92201529427,24638.04223453134,959.0,3824.7799399850824,3707.9223497980147,7067.455687306411,-5331.623526787186,18064.342769898947,2020-04-25,80.53703149265579,True,95,977324.171633228
49,2020-03-11,9585.617982433301,-6841.472755370284,24372.884725843775,1281.0,4803.504673140298,4674.60148741297,8055.303861955179,-2813.0872563649673,19223.729858803734,2020-04-25,80.53703149265579,True,95,977324.171633228
50,2020-03-12,12829.507537393283,-4746.391256254849,28870.77180467153,1663.0,6004.054550191306,5864.796033951784,10597.397373247948,91.91646668462253,22074.39298904387,2020-04-25,80.53703149265579,True,95,977324.171633228
51,2020-03-13,16861.99718217344,979.038272293787,32875.47835504292,2179.0,7470.035942869374,7323.387966146886,13304.831825321831,1073.2800769987803,24899.012304757594,2020-04-25,80.53703149265579,True,95,977324.171633228
52,2020-03-14,20942.184257648856,4157.12983329956,36643.349489392545,2727.0,9252.130259643549,9102.701291360097,16214.435018984459,5670.481278582848,27093.19195486979,2020-04-25,80.53703149265579,True,95,977324.171633228
53,2020-03-15,19028.129000562687,1942.5790450203308,37352.83656407441,3499.0,11408.888177467272,11263.352018749962,18495.76015544414,7497.194021055842,29710.545408119047,2020-04-25,80.53703149265579,True,95,977324.171633228
54,2020-03-16,21426.342797845038,4556.202267477052,38860.1915666447,4632.0,14007.513279447818,13875.082794138147,21159.70519694502,10012.978104825388,32197.61606360505,2020-04-25,80.53703149265579,True,95,977324.171633228
55,2020-03-17,24962.279338859167,7796.179680331267,41620.11214556683,6421.0,17124.595046157334,17017.53538291641,23004.448344180513,12870.195517662014,34119.011392030545,2020-04-25,80.53703149265579,True,95,977324.171633228
56,2020-03-18,29297.94475751957,12975.716205866713,45975.05749847689,7783.0,20846.73714458124,20780.897581840545,26607.877800535727,15214.970619690968,37123.64273467543,2020-04-25,80.53703149265579,True,95,977324.171633228
57,2020-03-19,35551.00739744889,19324.733782951447,52065.93854672238,13747.0,25271.01054673738,25266.34170556001,32172.917940501186,20499.323490034636,43392.52540231676,2020-04-25,80.53703149265579,True,95,977324.171633228
58,2020-03-20,43024.104885960565,26779.10367320783,59005.87197137771,19273.0,30505.14264061376,30586.15016479554,38366.316925193365,26914.84199709568,48974.38116624858,2020-04-25,80.53703149265579,True,95,977324.171633228
59,2020-03-21,51028.97446069345,33954.26091068829,67202.7530998098,25600.0,36667.33418960912,36863.4012268394,45285.38859577994,33760.50956312048,56140.87801134967,2020-04-25,80.53703149265579,True,95,977324.171633228
60,2020-03-22,53579.69283446409,37240.28016717343,71198.84710407833,33276.0,43885.57756874616,44231.06727683006,52164.38940634702,40412.96508038115,63385.798407320945,2020-04-25,80.53703149265579,True,95,977324.171633228
61,2020-03-23,61041.298192799404,44062.35608164669,78150.8220124444,43843.0,52296.33499631448,52830.362574363426,60082.03835738025,49293.07340661278,71414.3567275749,2020-04-25,80.53703149265579,True,95,977324.171633228
62,2020-03-24,70298.95648770651,53359.165819435395,86355.78068131463,53736.0,62042.42852525367,62808.172953148445,67905.724731216,56755.6798744946,79454.21213639138,2020-04-25,80.53703149265579,True,95,977324.171633228
63,2020-03-25,81073.67810573356,64359.507287831104,98378.45069529105,65778.0,73269.99961446883,74313.4129553204,78281.42220735825,66733.4813691743,90121.37757533511,2020-04-25,80.53703149265579,True,95,977324.171633228
64,2020-03-26,94538.85339051302,77249.66938003214,109649.50159574054,83836.0,86124.42137204483,87492.19433917856,91475.54998127125,79762.05788492633,102908.79373287749,2020-04-25,80.53703149265579,True,95,977324.171633228
