,Report_Date,Canada_recovered_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,332.1170551569143,0.013818063794798358,False,1,6.881778005237357e-07,9.183808755280788e-07
1,2020-01-23,0,332.1170551569143,0.013818063794798358,False,2,7.105653862335277e-07,9.183808755280788e-07
2,2020-01-24,0,332.1170551569143,0.013818063794798358,False,3,7.336812585682078e-07,9.183808755280788e-07
3,2020-01-25,0,332.1170551569143,0.013818063794798358,False,4,7.57549108013768e-07,9.183808755280788e-07
4,2020-01-26,0,332.1170551569143,0.013818063794798358,False,5,7.821933956011219e-07,9.183808755280788e-07
5,2020-01-27,0,332.1170551569143,0.013818063794798358,False,6,8.07639377962874e-07,9.183808755280788e-07
6,2020-01-28,0,332.1170551569143,0.013818063794798358,False,7,8.339131332045235e-07,9.183808755280788e-07
7,2020-01-29,0,332.1170551569143,0.013818063794798358,False,8,8.610415876165451e-07,9.183808755280788e-07
8,2020-01-30,0,332.1170551569143,0.013818063794798358,False,9,8.890525432546576e-07,9.183808755280788e-07
9,2020-01-31,0,332.1170551569143,0.013818063794798358,False,10,9.179747064164645e-07,9.183808755280788e-07
10,2020-02-01,0,332.1170551569143,0.013818063794798358,False,11,9.478377170435737e-07,9.183808755280788e-07
11,2020-02-02,0,332.1170551569143,0.013818063794798358,False,12,9.786721790792391e-07,9.183808755280788e-07
12,2020-02-03,0,332.1170551569143,0.013818063794798358,False,13,1.0105096918125466e-06,9.183808755280788e-07
13,2020-02-04,0,332.1170551569143,0.013818063794798358,False,14,1.0433828822411649e-06,9.183808755280788e-07
14,2020-02-05,0,332.1170551569143,0.013818063794798358,False,15,1.0773254384857272e-06,9.183808755280788e-07
15,2020-02-06,0,332.1170551569143,0.013818063794798358,False,16,1.1123721442899693e-06,9.183808755280788e-07
16,2020-02-07,0,332.1170551569143,0.013818063794798358,False,17,1.1485589146418694e-06,9.183808755280788e-07
17,2020-02-08,0,332.1170551569143,0.013818063794798358,False,18,1.1859228325521575e-06,9.183808755280788e-07
18,2020-02-09,0,332.1170551569143,0.013818063794798358,False,19,1.2245021870277586e-06,9.183808755280788e-07
19,2020-02-10,0,332.1170551569143,0.013818063794798358,False,20,1.2643365122789345e-06,9.183808755280788e-07
20,2020-02-11,0,332.1170551569143,0.013818063794798358,False,21,1.30546662820015e-06,9.183808755280788e-07
21,2020-02-12,0,332.1170551569143,0.013818063794798358,False,22,1.3479346821659846e-06,9.183808755280788e-07
22,2020-02-13,0,332.1170551569143,0.013818063794798358,False,23,1.3917841921847464e-06,9.183808755280788e-07
23,2020-02-14,0,332.1170551569143,0.013818063794798358,False,24,1.4370600914538192e-06,9.183808755280788e-07
24,2020-02-15,0,332.1170551569143,0.013818063794798358,False,25,1.4838087743622092e-06,9.183808755280788e-07
25,2020-02-16,0,332.1170551569143,0.013818063794798358,False,26,1.5320781439872124e-06,9.183808755280788e-07
26,2020-02-17,0,332.1170551569143,0.013818063794798358,False,27,1.581917661133656e-06,9.183808755280788e-07
27,2020-02-18,0,332.1170551569143,0.013818063794798358,False,28,1.633378394965716e-06,9.183808755280788e-07
28,2020-02-19,0,332.1170551569143,0.013818063794798358,False,29,1.6865130752829443e-06,9.183808755280788e-07
29,2020-02-20,0,332.1170551569143,0.013818063794798358,False,30,1.7413761464937974e-06,9.183808755280788e-07
30,2020-02-21,0,332.1170551569143,0.013818063794798358,False,31,1.7980238233416773e-06,9.183808755280788e-07
