,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.50922272796653,74343.91575830254,True,1,1.7505842772742894,147282.45461000656
1,2020-01-23,0,70.50922272796653,74343.91575830254,True,2,2.0610798892861695,147282.45461000656
2,2020-01-24,0,70.50922272796653,74343.91575830254,True,3,2.426646229912138,147282.45461000656
3,2020-01-25,0,70.50922272796653,74343.91575830254,True,4,2.8570505140728177,147282.45461000656
4,2020-01-26,0,70.50922272796653,74343.91575830254,True,5,3.363792112909193,147282.45461000656
5,2020-01-27,1,70.50922272796653,74343.91575830254,True,6,3.9604096893956764,147282.45461000656
6,2020-01-28,4,70.50922272796653,74343.91575830254,True,7,4.662842773416319,147282.45461000656
7,2020-01-29,4,70.50922272796653,74343.91575830254,True,8,5.489857417920053,147282.45461000656
8,2020-01-30,4,70.50922272796653,74343.91575830254,True,9,6.463547282386701,147282.45461000656
9,2020-01-31,5,70.50922272796653,74343.91575830254,True,10,7.609923494670781,147282.45461000656
10,2020-02-01,8,70.50922272796653,74343.91575830254,True,11,8.959608999773607,147282.45461000656
11,2020-02-02,10,70.50922272796653,74343.91575830254,True,12,10.54865587563746,147282.45461000656
12,2020-02-03,12,70.50922272796653,74343.91575830254,True,13,12.419507353524391,147282.45461000656
13,2020-02-04,12,70.50922272796653,74343.91575830254,True,14,14.622130107941175,147282.45461000656
14,2020-02-05,12,70.50922272796653,74343.91575830254,True,15,17.215346876464494,147282.45461000656
15,2020-02-06,12,70.50922272796653,74343.91575830254,True,16,20.26840474749871,147282.45461000656
16,2020-02-07,13,70.50922272796653,74343.91575830254,True,17,23.862820646912837,147282.45461000656
17,2020-02-08,13,70.50922272796653,74343.91575830254,True,18,28.094552816952778,147282.45461000656
18,2020-02-09,14,70.50922272796653,74343.91575830254,True,19,33.076555591387084,147282.45461000656
19,2020-02-10,14,70.50922272796653,74343.91575830254,True,20,38.94178473549582,147282.45461000656
20,2020-02-11,16,70.50922272796653,74343.91575830254,True,21,45.84673227485064,147282.45461000656
21,2020-02-12,16,70.50922272796653,74343.91575830254,True,22,53.975583353252254,147282.45461000656
22,2020-02-13,16,70.50922272796653,74343.91575830254,True,23,63.545103544747356,147282.45461000656
23,2020-02-14,16,70.50922272796653,74343.91575830254,True,24,74.81038354326694,147282.45461000656
24,2020-02-15,16,70.50922272796653,74343.91575830254,True,25,88.07158965188195,147282.45461000656
25,2020-02-16,16,70.50922272796653,74343.91575830254,True,26,103.68189341647845,147282.45461000656
26,2020-02-17,16,70.50922272796653,74343.91575830254,True,27,122.05678255475722,147282.45461000656
27,2020-02-18,16,70.50922272796653,74343.91575830254,True,28,143.68498850498696,147282.45461000656
28,2020-02-19,16,70.50922272796653,74343.91575830254,True,29,169.14130395258528,147282.45461000656
29,2020-02-20,16,70.50922272796653,74343.91575830254,True,30,199.10160706048129,147282.45461000656
30,2020-02-21,16,70.50922272796653,74343.91575830254,True,31,234.3604582443806,147282.45461000656
31,2020-02-22,16,70.50922272796653,74343.91575830254,True,32,275.8516904845452,147282.45461000656
32,2020-02-23,16,70.50922272796653,74343.91575830254,True,33,324.67247542054366,147282.45461000656
33,2020-02-24,16,70.50922272796653,74343.91575830254,True,34,382.1114145491135,147282.45461000656
34,2020-02-25,17,70.50922272796653,74343.91575830254,True,35,449.6812769055851,147282.45461000656
35,2020-02-26,27,70.50922272796653,74343.91575830254,True,36,529.1570800087416,147282.45461000656
36,2020-02-27,46,70.50922272796653,74343.91575830254,True,37,622.6202867543864,147282.45461000656
37,2020-02-28,48,70.50922272796653,74343.91575830254,True,38,732.5099628315443,147282.45461000656
38,2020-02-29,79,70.50922272796653,74343.91575830254,True,39,861.6818002193284,147282.45461000656
39,2020-03-01,130,70.50922272796653,74343.91575830254,True,40,1013.4759522573512,147282.45461000656
40,2020-03-02,159,70.50922272796653,74343.91575830254,True,41,1191.794630111401,147282.45461000656
41,2020-03-03,196,70.50922272796653,74343.91575830254,True,42,1401.1903587479642,147282.45461000656
42,2020-03-04,262,70.50922272796653,74343.91575830254,True,43,1646.9656546841097,147282.45461000656
43,2020-03-05,482,70.50922272796653,74343.91575830254,True,44,1935.284629900901,147282.45461000656
44,2020-03-06,670,70.50922272796653,74343.91575830254,True,45,2273.2965963648867,147282.45461000656
45,2020-03-07,799,70.50922272796653,74343.91575830254,True,46,2669.2710790630595,147282.45461000656
46,2020-03-08,1040,70.50922272796653,74343.91575830254,True,47,3132.742661399395,147282.45461000656
47,2020-03-09,1176,70.50922272796653,74343.91575830254,True,48,3674.662687298872,147282.45461000656
48,2020-03-10,1457,70.50922272796653,74343.91575830254,True,49,4307.552916522537,147282.45461000656
49,2020-03-11,1908,70.50922272796653,74343.91575830254,True,50,5045.653652444519,147282.45461000656
50,2020-03-12,2078,70.50922272796653,74343.91575830254,True,51,5905.055520244543,147282.45461000656
51,2020-03-13,3675,70.50922272796653,74343.91575830254,True,52,6903.799886453301,147282.45461000656
