,Report_Date,China_shaanxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,12.822586482432634,124.05595945368351,True,1,10.56767509168687,248.11191853551122
1,2020-01-23,3,12.822586482432634,124.05595945368351,True,2,13.576294972054324,248.11191853551122
2,2020-01-24,5,12.822586482432634,124.05595945368351,True,3,17.378803928126498,248.11191853551122
3,2020-01-25,15,12.822586482432634,124.05595945368351,True,4,22.14577276967599,248.11191853551122
4,2020-01-26,22,12.822586482432634,124.05595945368351,True,5,28.061287094353034,248.11191853551122
5,2020-01-27,35,12.822586482432634,124.05595945368351,True,6,35.31002063796933,248.11191853551122
6,2020-01-28,46,12.822586482432634,124.05595945368351,True,7,44.056343173266875,248.11191853551122
7,2020-01-29,56,12.822586482432634,124.05595945368351,True,8,54.41515315492096,248.11191853551122
8,2020-01-30,63,12.822586482432634,124.05595945368351,True,9,66.41683432505283,248.11191853551122
9,2020-01-31,87,12.822586482432634,124.05595945368351,True,10,79.97267087006055,248.11191853551122
10,2020-02-01,101,12.822586482432634,124.05595945368351,True,11,94.85093489171373,248.11191853551122
11,2020-02-02,116,12.822586482432634,124.05595945368351,True,12,110.6751965761565,248.11191853551122
12,2020-02-03,128,12.822586482432634,124.05595945368351,True,13,126.95263466283191,248.11191853551122
13,2020-02-04,142,12.822586482432634,124.05595945368351,True,14,143.13088705482704,248.11191853551122
14,2020-02-05,165,12.822586482432634,124.05595945368351,True,15,158.67083219043323,248.11191853551122
15,2020-02-06,173,12.822586482432634,124.05595945368351,True,16,173.1157542951445,248.11191853551122
16,2020-02-07,184,12.822586482432634,124.05595945368351,True,17,186.138959383596,248.11191853551122
17,2020-02-08,195,12.822586482432634,124.05595945368351,True,18,197.56103619263732,248.11191853551122
18,2020-02-09,208,12.822586482432634,124.05595945368351,True,19,207.3390676341094,248.11191853551122
19,2020-02-10,213,12.822586482432634,124.05595945368351,True,20,215.53759126276503,248.11191853551122
20,2020-02-11,219,12.822586482432634,124.05595945368351,True,21,222.29285819737925,248.11191853551122
21,2020-02-12,225,12.822586482432634,124.05595945368351,True,22,227.77937068473184,248.11191853551122
